AQSID,STATE_NAME,COUNTY_NAME,PARAMETER_NAME,DATETIME_LOCAL,LATITUDE,LONGITUDE,UNITS_OF_MEASURE,AQI,CITY_NAME
AQ001310,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/03/12 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001311,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/03/15 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001312,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/03/18 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001313,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/03/21 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001314,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/03/24 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001315,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/03/27 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001316,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/03/30 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001317,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/04/02 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001318,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/04/05 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001319,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/04/08 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001320,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/04/11 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001321,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/04/14 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001322,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/04/17 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001323,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/04/20 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001324,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/04/23 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001325,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/04/26 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001326,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/04/29 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001327,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/05/02 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001328,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/05/05 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001329,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/05/08 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001330,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/05/11 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001331,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/05/14 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001332,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/05/17 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001333,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/05/20 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001334,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/05/23 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001335,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/05/26 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001336,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/05/29 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001337,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/06/01 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001338,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/06/04 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001339,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/06/07 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001340,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/06/10 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001341,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/06/13 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001342,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/06/16 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001343,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/06/19 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001344,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/06/22 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001345,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/06/25 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
